run_id,method,gamma,batch_size,dataset,n_prompts,timestamp,vllm_version,gpu_name,throughput_tok_per_sec,baseline_throughput_tok_per_sec,speedup,total_output_tokens,total_wall_time_sec,total_drafted_tokens,total_accepted_tokens,acceptance_rate,mean_accepted_length_per_step,accepted_length_std,accepted_length_p5,accepted_length_p50,accepted_length_p95,time_drafting_frac,time_verification_frac,time_sampling_frac,time_overhead_frac,peak_kv_usage_pct,mean_kv_usage_pct,kv_n_samples,num_preemptions,ttft_mean_sec,ttft_p50_sec,ttft_p95_sec,ttft_p99_sec,e2e_mean_sec,e2e_p50_sec,e2e_p95_sec,e2e_p99_sec,tpot_mean_sec,tpot_p50_sec,tpot_p95_sec,tpot_p99_sec,prefill_time_mean_sec,decode_time_mean_sec,queue_time_mean_sec,inference_time_mean_sec,mean_generation_length,std_generation_length,status,error_msg
none_b1_instructcoder,none,,1,instructcoder,100,2026-06-18T17:51:31,0.10.2,NVIDIA A100-SXM4-40GB,71.24515427618483,,,50709,711.7536696379999,,,,,,,,,,,,,0.5574357953414322,0.23954064236688666,13727,0,352.4796776437759,353.43283582089555,1600.0,2368.0,359.5764647912979,360.0,887.2727272727273,945.4545454545455,0.014022899647453995,0.0175,0.02425,0.024849999999999997,0.02060371110000119,7.096849282579992,352.44001623421013,7.1174529936799935,507.09,36.0070405573267,ok,
ngram_g1_b1_instructcoder,ngram,1,1,instructcoder,100,2026-06-18T18:01:53,0.10.2,NVIDIA A100-SXM4-40GB,89.48174109086793,71.245154,1.255970,50709,566.6966174530003,13458.0,11162.0,0.829395155297964,1.8293951552979641,,,,,,,,,0.5574912891986084,0.23536216443169594,10895,0,278.7503971505165,301.9718309859155,606.1971830985915,633.2394366197184,284.3964873099327,284.6511627906977,800.0,928.0,0.01430134172039011,0.01750018997441678,0.02425036095139188,0.02485037614934522,0.02069672119998586,5.646169711210016,278.71094488048993,5.666866432410002,507.09,36.0070405573267,ok,
ngram_g3_b1_instructcoder,ngram,3,1,instructcoder,100,2026-06-18T18:10:43,0.10.2,NVIDIA A100-SXM4-40GB,104.45275112360342,71.245154,1.466103,50709,485.4730914649999,23981.0,16675.0,0.6953421458654768,3.0859394545909433,,,,,,,,,0.5574912891986084,0.23227557134891508,9317,0,239.64049939870836,281.7910447761194,604.1791044776119,632.8358208955224,244.474391977787,244.89795918367346,465.30612244897964,720.0,0.014210895241180636,0.0175,0.02425,0.024849999999999997,0.020655856029998178,4.833978125240005,239.59516043249008,4.854633981270004,507.09,36.0070405573267,ok,
ngram_g5_b1_instructcoder,ngram,5,1,instructcoder,100,2026-06-18T18:19:27,0.10.2,NVIDIA A100-SXM4-40GB,105.85418429682551,71.245154,1.485774,50709,479.045777329,31416.0,18445.0,0.5871212121212122,3.9347653142402548,,,,,,,,,0.5574912891986084,0.23164115087665904,9208,0,235.74955382347108,276.3636363636364,603.6363636363636,632.7272727272727,240.51988297462464,240.0,456.0,475.2,0.014766043606401083,0.0175,0.02425,0.02485,0.01990155573997981,4.770465707919998,235.70997633539005,4.790367263659977,507.09,36.0070405573267,ok,
none_b8_instructcoder,none,,8,instructcoder,100,2026-06-18T18:21:52,0.10.2,NVIDIA A100-SXM4-40GB,505.9525520341365,,,50709,100.22481316899984,,,,,,,,,,,,,3.1753931913199307,1.8222439717259196,1932,0,44.00432284832001,42.0,126.66666666666667,153.33333333333331,51.59477783679962,52.0,112.85714285714286,118.57142857142857,0.01499810903479616,0.01750341003439687,0.02425647906535405,0.0248567518681058,0.05381880663006541,7.590393001419988,43.91467146899,7.644211808050054,507.09,36.0070405573267,ok,
ngram_g1_b8_instructcoder,ngram,1,8,instructcoder,100,2026-06-18T18:23:56,0.10.2,NVIDIA A100-SXM4-40GB,638.1233347193154,505.952552,1.261232,50709,79.46582931700004,13528.0,11223.0,0.8296126552335896,1.8296126552335896,,,,,,,,,2.747635639621704,1.8123737299797968,1530,0,35.246306176185605,35.2,75.45454545454545,79.0909090909091,41.35089439630509,41.42857142857143,108.0,117.6,0.015486637841421604,0.017508953063090523,0.02426701081987199,0.024867727064919232,0.0254930809599864,6.104677770709982,35.179716319530016,6.130170851669968,507.09,36.0070405573267,ok,
ngram_g3_b8_instructcoder,ngram,3,8,instructcoder,100,2026-06-18T18:25:52,0.10.2,NVIDIA A100-SXM4-40GB,708.2830508278385,505.952552,1.399900,50709,71.59425873700002,24104.0,16713.0,0.6933703949551941,3.080024891101431,,,,,,,,,2.558486809357885,1.791987189858929,1369,0,31.73653151988983,31.333333333333332,74.5945945945946,78.91891891891892,37.23903811216354,36.875,101.25,116.25,0.016193159334333882,0.01750773286985212,0.024264692452719026,0.024865311082307197,0.024882266090025952,5.502597473399996,31.678630128370017,5.527479739490023,507.09,36.0070405573267,ok,
ngram_g5_b8_instructcoder,ngram,5,8,instructcoder,100,2026-06-18T18:27:46,0.10.2,NVIDIA A100-SXM4-40GB,734.6163717546891,505.952552,1.451947,50709,69.02786535900032,31465.0,18818.0,0.5980613379945972,3.989831585637115,,,,,,,,,2.4888003982080686,1.7792332692927078,1326,0,30.676710104942323,30.666666666666664,74.44444444444444,78.88888888888889,35.99708548307419,36.25,98.57142857142858,115.71428571428572,0.016663454994738685,0.017506582453060842,0.024262506660815596,0.024863033257060463,0.024559586639952613,5.32080781437001,30.618990406330067,5.3453674010099625,507.09,36.0070405573267,ok,
none_b1_sharegpt,none,,1,sharegpt,100,2026-06-18T18:40:18,0.10.2,NVIDIA A100-SXM4-40GB,71.42831444030092,,,50608,708.5145491190005,,,,,,,,,,,,,0.6370694803902066,0.20865010485543858,13663,0,351.12490389585497,350.5882352941176,1493.3333333333333,2346.6666666666665,358.1894811320305,360.0,887.2727272727273,945.4545454545455,0.013987568660944706,0.0175,0.02425,0.02485,0.020224191590014016,7.064841179269951,351.09378503465996,7.085065370859966,506.08,34.03078819913734,ok,
ngram_g1_b1_sharegpt,ngram,1,1,sharegpt,100,2026-06-18T18:50:59,0.10.2,NVIDIA A100-SXM4-40GB,84.85520526352575,71.428314,1.187977,50578,596.0506470159999,10508.0,8278.0,0.7877807384849639,1.787780738484964,,,,,,,,,0.6371329019412619,0.19848757580957144,11482,0,298.0519054198265,315.6756756756757,607.5675675675676,633.5135135135135,303.9918412089348,308.57142857142856,840.0,936.0,0.014068846025602086,0.0175,0.02425,0.024849999999999997,0.02014784466002311,5.9402888573899695,298.02163641576004,5.960436702049992,505.78,35.208923340941325,ok,
ngram_g3_b1_sharegpt,ngram,3,1,sharegpt,100,2026-06-18T19:00:45,0.10.2,NVIDIA A100-SXM4-40GB,93.41759094603752,71.428314,1.307851,50578,541.4183719339999,19702.0,12264.0,0.6224748756471424,2.8669508296544377,,,,,,,,,0.6271777003484358,0.1918400460760651,10402,0,272.1771831154823,306.6666666666667,606.6666666666667,633.3333333333334,277.5709820318222,285.0,741.8181818181818,916.3636363636364,0.014089373496578255,0.0175,0.02425,0.024849999999999997,0.020116346129952944,5.39397574943002,272.14669889250996,5.4140920955599725,505.78,35.208923340941325,ok,
ngram_g5_b1_sharegpt,ngram,5,1,sharegpt,100,2026-06-18T19:10:30,0.10.2,NVIDIA A100-SXM4-40GB,93.66730692811846,71.428314,1.311347,50578,539.9749566709997,26259.0,13622.0,0.5187554743135687,3.5912117177097205,,,,,,,,,0.6271777003484358,0.19081330391932286,10383,0,272.0087533211708,306.6666666666667,606.6666666666667,633.3333333333334,277.388618888855,285.0,741.8181818181818,916.3636363636364,0.014551685219328151,0.0175,0.02425,0.02485,0.019628033619974304,5.3800490592900045,271.97916275911,5.399677092909979,505.78,35.208923340941325,ok,
none_b8_sharegpt,none,,8,sharegpt,100,2026-06-18T19:12:53,0.10.2,NVIDIA A100-SXM4-40GB,513.7033288509124,,,50655,98.60749805400064,,,,,,,,,,,,,3.026080031853473,1.5962325144503526,1902,0,43.61262966632843,41.951219512195124,123.63636363636363,152.72727272727272,51.148543150424956,51.111111111111114,112.85714285714286,118.57142857142857,0.01490677524029278,0.017504750311739207,0.024259025592304497,0.024859405617243632,0.036475507200102585,7.536120222730014,43.5562257654299,7.572595729930117,506.55,32.81333031657479,ok,
ngram_g1_b8_sharegpt,ngram,1,8,sharegpt,100,2026-06-18T19:15:02,0.10.2,NVIDIA A100-SXM4-40GB,598.2751614195422,513.703329,1.164632,50596,84.56978203800008,10552.0,8305.0,0.7870545868081881,1.7870545868081882,,,,,,,,,2.4390243902439046,1.5189891960732191,1631,0,37.7873459148407,37.69230769230769,75.74468085106383,79.14893617021276,44.260742404460906,44.166666666666664,110.0,118.0,0.015334891628378571,0.017512635250569477,0.024274006976082008,0.024875017796127566,0.02230323662001865,6.473624500920014,37.741806121469956,6.495927737540033,505.96,34.65148851875856,ok,
ngram_g3_b8_sharegpt,ngram,3,8,sharegpt,100,2026-06-18T19:17:05,0.10.2,NVIDIA A100-SXM4-40GB,639.2704459106624,513.703329,1.244435,50551,79.07607855700007,19774.0,12288.0,0.6214220693840397,2.863794934020931,,,,,,,,,2.7675460428073673,1.4513495046568654,1524,0,35.06164488077164,34.666666666666664,75.23809523809524,79.04761904761904,41.03865754127502,40.0,107.5,117.5,0.01563200522956804,0.017513952208772207,0.02427650919666719,0.024877625373368968,0.02199770158003048,5.977209839629932,35.016629999879996,5.999207541209962,505.51,35.264224868208224,ok,
ngram_g5_b8_sharegpt,ngram,5,8,sharegpt,100,2026-06-18T19:19:07,0.10.2,NVIDIA A100-SXM4-40GB,648.3433477745835,513.703329,1.262097,50571,78.00033758900008,26786.0,13826.0,0.5161651609049503,3.578034682080925,,,,,,,,,2.5883524141363856,1.4299060746931556,1503,0,34.431753120422364,34.193548387096776,75.1219512195122,79.02439024390245,40.31664743900299,39.333333333333336,105.71428571428571,117.14285714285714,0.01600908695212311,0.01751717697739728,0.024282636257054832,0.024884010415246613,0.022086983439985487,5.885100454469975,34.38704558803998,5.907187437909961,505.71,35.2033902752091,ok,